rank,date,artist_name,track_title,days_on_chart,top_10_days,peak_position,peak_occurrence,peak_streams,total_streams
1,2026-04-09,The Weeknd,Blinding Lights,2318,446,1,82,8453567,5270052887
2,2026-04-09,Ed Sheeran,Shape of You,2832,237,1,98,9878194,4249941850
3,2026-04-09,Harry Styles,As It Was,1418,426,1,81,16103849,4229520957
4,2026-04-09,Lewis Capaldi,Someone You Loved,2388,107,4,1,3974554,3902396693
5,2026-04-09,The Neighbourhood,Sweater Weather,2137,0,12,1,3342205,3885942995
6,2026-04-09,The Weeknd,Starboy,2112,145,1,40,5125218,3659022233
7,2026-04-09,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,2309,213,1,16,5033261,3612436458
8,2026-04-09,Billie Eilish,BIRDS OF A FEATHER,691,486,1,25,10082989,3574503705
9,2026-04-09,Ed Sheeran,Perfect,3087,102,3,1,3690839,3569818811
10,2026-04-09,Lady Gaga,Die With A Smile,600,417,1,201,11621474,3528670941
11,2026-04-09,Billie Eilish,lovely,2769,0,19,1,2085328,3458657426
12,2026-04-09,Imagine Dragons,Believer,2952,0,15,1,2572100,3314004592
13,2026-04-09,The Kid LAROI,Stay,1232,299,1,84,10629302,3271261658
14,2026-04-09,Drake,One Dance,2152,187,1,101,7196287,3171606096
15,2026-04-09,Arctic Monkeys,I Wanna Be Yours,1371,0,11,1,3186952,3171520687
16,2026-04-09,Tom Odell,Another Love,1809,0,11,1,3052832,3053320120
17,2026-04-09,Glass Animals,Heat Waves,1358,258,1,65,5003951,3000920519
18,2026-04-09,Coldplay,Yellow,1926,0,15,1,3078369,2945044914
19,2026-04-09,Sabrina Carpenter,Espresso,726,224,1,32,11692253,2879215387
20,2026-04-09,Benson Boone,Beautiful Things,810,218,1,35,9256894,2851305239
21,2026-04-09,Taylor Swift,Cruel Summer,1016,257,2,18,5405688,2704595431
22,2026-04-09,Vance Joy,Riptide,2603,0,16,1,2526786,2694347153
23,2026-04-09,Jung Kook,Seven,998,153,1,71,17902017,2667154675
24,2026-04-09,Harry Styles,Watermelon Sugar,1564,127,4,1,4321515,2598700368
25,2026-04-09,James Arthur,Say You Won't Let Go,2483,97,6,1,2817950,2591662993
26,2026-04-09,The Weeknd,Die For You,1528,2,9,1,3554197,2576861996
27,2026-04-09,The Chainsmokers,Something Just Like This,2058,86,2,14,4937390,2527694114
28,2026-04-09,Tones And I,Dance Monkey,1048,286,1,120,8928593,2508984101
29,2026-04-09,Lord Huron,The Night We Met,1344,0,15,1,3221586,2495762698
30,2026-04-09,Miley Cyrus,Flowers,807,179,1,82,18424325,2461768970
31,2026-04-09,The Weeknd,One Of The Girls,913,80,2,2,5073947,2451648584
32,2026-04-09,SZA,Kill Bill,848,174,1,20,8455200,2414898521
33,2026-04-09,OneRepublic,Counting Stars,2512,0,31,1,1717699,2393178545
34,2026-04-09,Djo,End of Beginning,781,163,1,35,9308588,2389653043
35,2026-04-09,The Police,Every Breath You Take,1636,15,6,1,3784859,2365834380
36,2026-04-09,Teddy Swims,Lose Control,873,57,5,1,5154184,2341233870
37,2026-04-09,Jimin,Who,628,188,1,20,10674703,2335284027
38,2026-04-09,ROSÉ,APT.,537,251,1,28,14596132,2321989306
39,2026-04-09,Arctic Monkeys,505,1554,0,40,1,1987531,2270385411
40,2026-04-09,The Chainsmokers,Closer,1805,191,1,82,6875523,2270163092
41,2026-04-09,Hozier,Take Me To Church,2201,139,1,30,2140282,2131053939
42,2026-04-09,Mariah Carey,All I Want for Christmas Is You,622,273,1,86,24863570,2122559136
43,2026-04-09,Coldplay,Viva La Vida,1346,0,27,1,2811786,2108853788
44,2026-04-09,Dua Lipa,Don't Start Now,1152,235,2,7,6100930,2095889464
45,2026-04-09,Eminem,Without Me,1652,0,29,1,2404685,2062164402
46,2026-04-09,Post Malone,rockstar,1208,185,1,114,7156650,2052310834
47,2026-04-09,Shawn Mendes,Señorita,1021,170,1,102,9936178,2046655077
48,2026-04-09,Chappell Roan,"Good Luck, Babe!",727,133,5,1,6303841,2046341739
49,2026-04-09,Bruno Mars,Locked out of Heaven,1565,0,14,1,3445221,2042245574
50,2026-04-09,"Tyler, The Creator",See You Again,1083,0,13,1,3276823,2035703642
51,2026-04-09,Tate McRae,greedy,789,206,1,34,6282050,2025082587
52,2026-04-09,Elton John,Cold Heart - PNAU Remix,1009,199,2,1,5699348,1972427296
53,2026-04-09,Billie Eilish,WILDFLOWER,691,36,8,1,6821322,1938433639
54,2026-04-09,Manuel Turizo,La Bachata,853,173,3,3,4806467,1936624976
55,2026-04-09,Travis Scott,goosebumps,1954,1,10,1,3297928,1919311891
56,2026-04-09,The Goo Goo Dolls,Iris,936,5,9,1,3333439,1900607025
57,2026-04-09,Juice WRLD,Lucid Dreams,1426,110,2,6,5544528,1896783804
58,2026-04-09,Post Malone,Circles,1190,131,1,3,7292777,1891712728
59,2026-04-09,Cigarettes After Sex,Apocalypse,1330,0,44,1,1982056,1889511345
60,2026-04-09,Billie Eilish,bad guy,949,169,1,41,7220348,1887770085
61,2026-04-09,Ed Sheeran,Photograph,2319,0,13,1,1769541,1878441960
62,2026-04-09,Kendrick Lamar,All The Stars,1033,74,2,14,7399673,1873778132
63,2026-04-09,Ariana Grande,we can't be friends (wait for your love),754,50,1,13,9432687,1873138350
64,2026-04-09,David Guetta,I'm Good (Blue),810,144,1,1,6863607,1871877445
65,2026-04-09,Bruno Mars,That's What I Like,1271,57,5,1,3482628,1835155982
66,2026-04-09,FloyyMenor,Gata Only,628,148,2,1,8628580,1806593089
67,2026-04-09,Wham!,Last Christmas,563,216,1,5,24556791,1800431221
